Incident_ID,Date,Location,Risk_Level,Incident_Summary,Status,Resolution_Date
8,2026-06-20,"95075 Watson Mall Suite 514, North Brianshire, GU 05257",MEDIUM,This stock senior girl offer. National song myself really news main wall.,Open,
125,2026-06-20,"706 Rodgers Meadow, West Christine, MP 45011",LOW,Enter modern leg somebody a less.,Resolved,2026-06-29
92,2026-06-21,"674 Rodriguez Union Suite 690, Beckerburgh, IN 90066",HIGH,Physical party couple west.,Resolved,2026-06-29
143,2026-06-23,"754 Fleming Dale, Hayestown, GU 53306",MEDIUM,Almost often school network property. Live discuss southern what issue.,Resolved,2026-07-02
38,2026-06-23,"97238 Veronica Summit, Williammouth, VA 67169",LOW,Across officer return enter arm project. Reason animal organization physical seem bit letter.,Open,
126,2026-06-23,"56527 Lindsey Loop Apt. 901, West Clintonhaven, AZ 56950",LOW,Act reason war. Contain economy nearly think reach draw democratic.,Resolved,2026-07-02
103,2026-06-23,"53602 Matthew Inlet, Amberchester, DE 31885",LOW,Support sense stock.,Resolved,2026-06-28
99,2026-06-24,"956 Jessica Ferry, West Cynthiaport, VI 93135",MEDIUM,Today TV girl his real parent sport. Say bag whom tell establish they site.,Resolved,2026-06-27
167,2026-06-24,"080 Isabel Mount Apt. 069, East Linda, MA 19689",LOW,Leg system attention glass hope young Republican candidate.,Resolved,2026-07-04
116,2026-06-25,"6514 James Fields, Moranside, ND 78853",HIGH,Sort rise stop particularly benefit establish maybe view. Range bar budget.,Open,
